"","election","province","district","candidate","media_mentions","current_vote","previous_vote","winner","liberal","conservative","ndp","bq","other","gender","year_served","place","p2p","government"
"1",2008,"ON","York South--Weston","Alan  Tonks",44,46.5,57.060001373291,1,1,0,0,0,0,"Male",8,149,0,0
"2",2006,"ON","York South--Weston/York-Sud--Weston","Alan Tonks ** Liberal/Lib»ral",60,57.060001373291,59.8300018310547,1,1,0,0,0,0,"Male",6,172,0,1
"3",2008,"ON","Mississauga East--Cooksville","Albina  Guarnieri",66,50.2000007629395,51.6500015258789,1,1,0,0,0,0,"Female",20,246,0,0
"4",2006,"NS","Halifax","Alexa McDonough ** N.D.P./N.P.D.",330,46.8800010681152,41.5499992370605,1,0,0,1,0,0,"Female",9,21,1,0
"5",2008,"QC","Richmond--Arthabaska","Andre  Bellavance",1,46,47.8899993896484,1,0,0,0,1,0,"Male",4,101,1,0
"6",2006,"QC","Richmond--Arthabaska","Andre Bellavance ** Bloc Qu»b»cois/Bloc Qu»b»cois",9,47.8899993896484,55.5499992370605,1,0,0,0,1,0,"Male",2,93,0,0
"7",2008,"ON","Kitchener--Waterloo","Andrew  Telegdi",113,36,46.8499984741211,0,1,0,0,0,0,"Male",15,69,1,0
"8",2006,"SK","Regina--Qu'Appelle","Andrew Scheer ** Conservative/Conservateur",75,41.2099990844727,35.7599983215332,1,0,1,0,0,0,"Male",2,155,0,0
"9",2006,"ON","Kitchener--Waterloo","Andrew Telegdi ** Liberal/Lib»ral",52,46.8499984741211,48.1199989318848,1,1,0,0,0,0,"Male",13,133,0,1
"10",2006,"NB","Tobique--Mactaquac","Andy Savoy ** Liberal/Lib»ral",268,42.8600006103516,48.2299995422363,0,1,0,0,0,0,"Male",2,5,1,1
"11",2008,"MB","Winnipeg South Centre","Anita  Neville",337,42.2999992370605,39.25,1,1,0,0,0,0,"Female",8,139,0,0
"12",2008,"ON","Nipissing--Timiskaming","Anthony  Rota",29,44.5999984741211,44.689998626709,1,1,0,0,0,0,"Male",4,104,1,0
"13",2006,"ON","Nipissing--Timiskaming","Anthony Rota ** Liberal/Lib»ral",17,44.689998626709,42.310001373291,1,1,0,0,0,0,"Male",2,207,0,1
"14",2006,"AL","Calgary Northeast/Calgary-Nord-Est","Art Hanger ** Conservative/Conservateur",108,64.8600006103516,62.2400016784668,1,0,1,0,0,0,"Male",13,163,0,0
"15",2008,"ON","Haliburton--Kawartha Lakes--Brock","Barry  Devolin",14,56,49,1,0,1,0,0,0,"Male",4,210,0,1
"16",2006,"ON","Haliburton--Kawartha Lakes--Brock","Barry Devolin ** Conservative/Conservateur",4,49,44.2299995422363,1,0,1,0,0,0,"Male",2,72,1,0
"17",2006,"QC","Repentigny","Benoit Sauvageau ** Bloc Qu»b»cois/Bloc Qu»b»cois",26,62.4199981689453,70.0599975585938,1,0,0,0,1,0,"Male",13,17,1,0
"18",2008,"QC","Rosemont--La Petite-Patrie","Bernard  Bigras",183,51.9000015258789,55.9900016784668,1,0,0,0,1,0,"Male",11,40,1,0
"19",2008,"QC","Pierrefonds--Dollard","Bernard  Patry",35,46.7999992370605,51.1199989318848,1,1,0,0,0,0,"Male",15,177,0,0
"20",2006,"QC","Rosemont--La Petite-Patrie","Bernard Bigras ** Bloc Qu»b»cois/Bloc Qu»b»cois",16,55.9900016784668,61.7999992370605,1,0,0,0,1,0,"Male",9,92,0,0
"21",2006,"QC","Louis-Saint-Laurent","Bernard Cleary ** Bloc Qu»b»cois/Bloc Qu»b»cois",18,24.1900005340576,38.439998626709,0,0,0,0,1,0,"Male",2,48,1,0
"22",2006,"QC","Pierrefonds--Dollard","Bernard Patry ** Liberal/Lib»ral",28,51.1199989318848,63.5699996948242,1,1,0,0,0,0,"Male",13,194,0,1
"23",2006,"BC","Kamloops--Thompson--Cariboo","Betty Zane Hinton ** Conservative/Conservateur",478,39.2700004577637,40.3499984741211,1,0,1,0,0,0,"Female",6,79,1,0
"24",2008,"ON","Lambton--Kent--Middlesex","Bev  Shipley",6,51.2999992370605,46.3600006103516,1,0,1,0,0,0,"Male",2,163,0,1
"25",2006,"ON","Durham","Bev Oda ** Conservative/Conservateur",142,47.0200004577637,40.7400016784668,1,0,1,0,0,0,"Female",2,1,1,0
